,text_,label,target
53,"I recently purchased a luxury beauty product from Amazon and I can confidently say it has exceeded my expectations. The lightweight moisturizer is a game-changer for my skin, reducing fine lines and wrinkles while providing optimal moisture. I have noticed a visible improvement in my skin's firmness and resilience since using this product. The results are impressive, with my skin looking firmer and more radiant than ever. Even at its price point, this product delivers exceptional quality and effectiveness. I highly recommend it to anyone looking to enhance their skincare routine. 5 stars!",CG,1
54,"I stumbled upon the Tiesta Tea Blueberry Wild Child blend while looking to expand my tea collection, and I'm so glad I did! The blueberry and hibiscus flavors create a delightful, fruity concoction that's both soothing and refreshing. The fact that it's caffeine-free is a bonus for me, as I can enjoy it any time of the day without worrying about staying up all night. This tea has become my go-to choice for relaxation after a long day at work. I appreciate the brand's commitment to using non-GMO ingredients, making it a healthier choice. The packaging is also well-designed, allowing me to see the vibrant blueberry chunks in the tea. One pouch seems to last forever; I've already brewed more than 30 cups and still have plenty left. If you're looking for a flavorful and functional tea blend, I highly recommend giving Tiesta Tea Blueberry Wild Child a try!",CG,1
55,Effective and easy to use!,CG,1
56,Keeps my tank sparkling clean effortlessly,CG,1
57,"The Rainmaker Pump Sprayer seemed promising at first, but the usability quickly went downhill. The trigger lock didn't hold up well, constantly disconnecting during spraying. The hose kept kinking, making it frustrating to use. After a few weeks, the pressure release valve started leaking. Disappointing quality for the price.",CG,1
58,Invisible perfection!,CG,1
59,So flavorful!,CG,1
60,This shampoo works wonders! It brightens my pup's coat beautifully without any harsh chemicals. Definitely worth the price for a top-notch product!,CG,1
61,Great value!,CG,1
62,Healthy and delicious,CG,1
63,DISAPPOINTING! SWISS MISS HOT COCOA LACKS FLAVOR. THE MARSHMALLOWS WERE STALE AND UNAPPETIZING. SAVE YOUR MONEY AND OPT FOR A DIFFERENT BRAND. GHIRARDELLI WOULD BE A MUCH BETTER CHOICE WITH RICHER TASTE AND FRESHER INGREDIENTS.,CG,1
64,Perfect fit,CG,1
65,"Slow printing, constantly jams, and terrible wireless connectivity. Customer support is unhelpful and frustrating. Avoid this headache of a printer!",CG,1
66,"Sturdy protection, sleek design. Worth every penny!",CG,1
67,Highly recommended!,CG,1
68,"Amazing for indoor play, my pup is obsessed!",CG,1
69,Absolutely delicious! Smooth texture and perfect for spreading.,CG,1
70,"This collar is NOT velvet. It's a cheap material that irritated my cat's neck. The buckle broke after a week, and the crystals fell off. The sizing is way off too; it was too tight on my 8-pound cat. Save your money.",CG,1
71,Excellent labels! Great quality and very adhesive. Highly recommend.,CG,1
72,Absolutely love this bowl! The stainless steel design is sleek and durable. My pet seems to enjoy eating from it too. Highly recommend!,CG,1
73,Impressive quality.,CG,1
74,"The VIZ-PRO Dry Erase Board arrived shattered, unusable piece of junk.",CG,1
75,Impressed with the growth of these White Carolina Pineberry plants! Vigorous runners & unique white berries with a hint of pineapple. Started showing promise. Can't wait for the harvest season!,CG,1
76,"Amazing pond dye! Bright turquoise color is stunning & safe for fish. Lasted for months, now looks natural & dark. Highly recommend for any outdoor water feature!",CG,1
77,Salty overload,CG,1
78,"Great quality, works perfectly!",CG,1
79,"The treats were a hit with my dog, but unfortunately, they upset his stomach. Had to switch to a gentler option.",CG,1
80,my cat can't get enough of this food,CG,1
81,Comfortable and effective solution for anxious pups!,CG,1
82,"Superb tuner! Works great for all instruments, easy to read display, and swift tuning. A must-have for musicians!",CG,1
83,This aquarium tool set is a game-changer! Perfect for planting delicate aquatic plants with precision. Just remember to rinse them well to maintain their quality. Great value for the price!,CG,1
84,"The screen protector shattered upon application. Cheap quality, highly disappointed.",CG,1
85,"Delicious mix, highly recommended!",CG,1
86,"My pup went crazy for these bully sticks! They kept him entertained for a good while, and the quality was impressive. No more begging during dinner time. A win-win for both of us!",CG,1
87,Ink quality is decent but not as dark as expected. Printing appears faded at times.,CG,1
88,Absolutely love this case! It's durable and the kickstand is a game-changer. Perfect for my daily use.,CG,1
89,"I was hesitant at first, but this bird warmer exceeded my expectations! It's a game-changer for keeping my feathered friends cozy. Easy to install and my birds took to it quickly. Worth every penny. Highly recommend!",CG,1
90,"soft and highly absorbent towel. The embroidered paw prints add a cute touch. It dries quickly, making it convenient for daily use with my furry friends. The only downside is it's a bit small for larger pets. Overall a good purchase.",CG,1
91,Our puppies thrived on Pet Ag Esbilac! Great for supplementing nursing dogs or stressed pups. Highly recommend!,CG,1
92,"I never thought dog probiotics could make such a difference until I tried PetVitalityPRO's chewables. My pup's digestion is on point, and his coat is shinier than ever. A game-changer for his sensitive stomach! Highly recommend!",CG,1
93,delightful and tasty treats,CG,1
94,"Stylish, convenient stand!",CG,1
95,"disappointing, didn't protect as claimed. waste of money",CG,1
96,"Great portable charger, reliable & fast charging",CG,1
97,AMAZINGLY QUIET AND EFFICIENT! MY FISH ARE LOVING IT!,CG,1
98,Skin feels amazing!,CG,1
99,Absolutely love this stand! Keeps my Xbox cool and looks great on my setup.,CG,1
100,Absolutely fantastic!,CG,1
101,"Decent quality, but the fabric feels cheap. Not very durable for active pets. Average comfort level for the price.",CG,1
102,Refreshing and soothing taste.,CG,1
103,terrible quality,CG,1
104,"I stumbled upon Lily's Sweets Extra Dark Chocolate, and I'm thrilled I did! This 12-pack of gluten-free goodness has become my go-to treat. At $39.19, it's a steal for the quality. The blend of unsweetened chocolate, erythritol, and stevia creates a decadent taste that's guilt-free. Each bar is a symphony of rich cacao flavor, perfectly balanced. As someone avoiding refined sugar, this chocolate is a dream come true. It's a tad pricey, but the quality justifies it. If you appreciate deep, intense chocolate flavors, this is a must-try. Highly recommend!",CG,1
105,My Plecos love it!,CG,1
106,"Great quality cartridges, worth the price.",CG,1
107,Amazing grooming tool! Makes detangling my fluffy pup a breeze.,CG,1
108,My cats devoured Hill's Science Diet Adult Wet Cat Food!,CG,1
109,My furry friend loves this collar! It fits perfectly and looks stylish on him.,CG,1
110,Impressive battery life! Lightning-fast 4G speed. Excellent purchase. Highly recommend!,CG,1
111,Vibrant colors! Love them!,CG,1
112,"The Miracle Care cat grass is a hit in my household! My kitty was instantly drawn to it and couldn't resist rubbing against the lush green leaves. It's a joy to see her playful side come out with this catnip-infused treat. The packaging was convenient, and the growth was quick. The only downside? My cat occasionally treats it like a toy rather than nibbling on it, but overall, a great buy.",CG,1
113,"This Coconut Caramel Sauce by Hey Boo is a game-changer! The all-natural ingredients make me feel good about indulging. The balance of sweetness from organic sugar and the richness of coconut milk is a match made in heaven. I've used it on ice cream, pancakes, and even in my coffee. The fact that it's vegan and free from corn syrup is a huge plus. Definitely a staple in my pantry now. Highly recommend, 5 stars!",CG,1
114,This aloe vera juice is amazing!,CG,1
115,"I absolutely love these Gardener's Blue Ribbon Sturdy Stakes! They are perfect for supporting my tall plants in the garden. I use them to prop up my tomatoes, cucumbers, and even sunflowers. The steel center gives them such great stability, and the weatherproof coating ensures they last for years. These stakes have been a game-changer for my garden, and I highly recommend them to any fellow plant lover. 5 stars all the way!",CG,1
116,"Great quality, worth the price!",CG,1
117,"These Mr. Sketch scented markers are a game-changer! The colors are vibrant, and the scents spark creativity. Perfect for my art projects.",CG,1
118,"Great study tool, love the color coding option!",CG,1
119,Delicious!,CG,1
120,Smells amazing!,CG,1
121,The material feels cheap and the sizing is off. They leak after a short time which defeats the purpose.,CG,1
122,Absolutely essential for sewing! Makes sewing straight seams a breeze.,CG,1
123,"This Rockin Beads Brand 100 Open Weave Beads set is a must-have for any craft enthusiast! The shiny silver finish adds a touch of elegance to my projects. The quality exceeded my expectations, and the price is unbeatable. Fast shipping too. Highly recommend this product from Rockin Beads (TM)!",CG,1
124,My koi and goldfish are thriving thanks to this amazing food! Even my picky eaters gobble it up happily.,CG,1
125,"This filament is top-notch quality, worth every penny!",CG,1
126,"Impressive badge holders! Sturdy and clear. Perfect for work events. Colleagues loved them so much, I ended up sharing them as gifts. Highly recommend!",CG,1
127,Loved it!,CG,1
128,"Sturdy and reliable, great value for money!",CG,1
129,"Delicious blend, perfect snack choice.",CG,1
130,These Gin Gins Double Strength Ginger Hard Candies are my new favorite go-to treat! The spicy-sweet flavor is so satisfying. I love that they are made with natural ingredients and are gluten-free. Perfect for soothing my stomach or enjoying as a pick-me-up. Highly recommend!,CG,1
131,"My furry friend adores this bed, super cozy for nap time!",CG,1
132,Great quality!,CG,1
133,"Great pedal, versatile and reliable!",CG,1
134,Absolutely love my new cutting mat. Perfect size and rotation feature makes crafting a breeze. Highly recommend!,CG,1
135,"This Victor Black Box Gopher Trap is an absolute game-changer! I was skeptical at first, but this trap exceeded all my expectations. Setting it up was a breeze with the easy-set design, and the illustrated instructions were super helpful. Within hours of placing it in my yard, I caught a gopher! The weather-resistant materials make it durable, and the trap is reusable, which is a huge plus. I love that it's chemical-free and environmentally friendly. Trust me, if you have a gopher problem, this trap is the solution you've been looking for. 5 stars all the way!",CG,1
136,"I recently discovered this gem while browsing for pet supplies on Amazon. As a proud fur parent residing in sunny California, keeping my furry friend cool and comfortable during the scorching afternoons is a top priority. With the Coleman Comfort Cooling Gel Pet Pad Mat, I found the perfect solution! This mat truly lives up to its promise of staying cooler than the room temperature. The non-toxic gel is a huge plus, ensuring my pet's safety. What I love most is its versatility; I can use it on its own, in the pet bed, or even in the carrier. My furry companion took to it instantly and now spends hours lounging on it happily. The easy maintenance adds to the appeal - just a quick wipe clean and it's good to go. At such an affordable price, this product is a steal! A definite 5-star rating from me for providing a cool oasis for my pet in the hot summer days. Highly recommend this Coleman pet pad to all pet owners seeking to keep their pets comfortable and content.",CG,1
137,Beautiful and sturdy quality!,CG,1
138,Accurate and easy to read!,CG,1
139,Great for monitoring pH levels in my aquarium.,CG,1
140,Life saver for my trumpet!,CG,1
141,"I've been struggling with my mower blades for a while, trying various brands that just didn't deliver. But then I found the Longer Life 596-900 Gator Fusion G5 3-In-1 Mulching Blades, and what a game-changer! These blades exceeded all my expectations, and I'm thrilled with the results. The difference in performance compared to my previous blades is truly remarkable. 

The installation process was smooth, and once I got them on my mower, the change was evident immediately. These blades were sharper right out of the box, and they handled thick patches of grass with ease. No more clippings left behind, thanks to their excellent mulching capabilities. My lawn looks pristine now with a clean and level cut every time I mow.
The design of the Gator MulcherTM blades is genius. The airflow redirection keeps the clippings right where they need to be, resulting in finer mulch that blends seamlessly into the grass. Plus, the environmental benefits are a huge bonus - no more bagging, saving time and money while promoting lawn health. 

I'm impressed with how durable these blades are, especially in sandy soil conditions. They are built to last, and I can already see the difference in the health of my lawn. Overall, the Gator Fusion G5 blades have made mowing a breeze and have transformed the look of my yard. I highly recommend them to anyone looking for top-notch performance and efficiency in lawn care. Will definitely be purchasing another set when the time comes.",CG,1
142,Compact and powerful charger!,CG,1
143,"The OtterBox DEFENDER case is decent for protection, but the clip is flimsy. The case itself feels sturdy, but the overall durability is questionable. Hoping it doesn't disappoint in the long run.",CG,1
144,The MOODY PET Fling-Ama-String Cat Toy worked for a brief moment before malfunctioning. Disappointing quality at a high price.,CG,1
145,This powdered peanut butter is a game-changer! I add it to my morning smoothies for a delicious protein boost. The chocolate flavor is my absolute favorite. Highly recommend!,CG,1
146,"Absolutely delightful tea assortment! Each flavor in the sampler is a unique treat, and the packaging is both festive and convenient. Will definitely be repurchasing for cozy evenings.",CG,1
147,Gecko goes crazy for it!,CG,1
148,"The San Francisco Bay OneCup, French Roast, 80 Count single-serve coffee pods are a disappointment. Initially, the intense, smoky flavor intrigued me, but the dark sediment at the cup's bottom ruined the experience. It tastes like bitter sludge, spoiling the entire brew. While the brand promises a bold coffee, the unpleasant aftertaste overshadows any positives. I'd recommend sticking to regular Keurig cups for a better coffee experience. This product needs significant improvement before it's worth purchasing. 2 stars only for the attempt at bold flavor.",CG,1
149,Absolutely delicious! Can't get enough!,CG,1
150,disappointing,CG,1
151,Perfect for staying organized at work! Love the navy color and durability. Great value for 100 folders.,CG,1
152,"Amazing kit, all-in-one solution for guitar care",CG,1
153,My dog loves this bowl! It slows down her eating just as described. Easy to clean and durable. Highly recommend!,CG,1
154,"Delicious umami flavor that elevates every dish! I sprinkle it on everything from salads to soups. A healthy, versatile seasoning that's a pantry staple now.",CG,1
155,Smells heavenly!,CG,1
156,Impressive quality,CG,1
157,Decadent cashews! Perfectly salted. A tasty treat for any time of day.,CG,1
158,Great quality!,CG,1
159,"Sleek design, fits 2 cards snugly. Great for minimalist carry!",CG,1
160,Fantastic power!,CG,1
161,"The LG G5 exceeded my expectations with its versatile camera capabilities. The ultra-wide angle lens captured stunning landscapes seamlessly, while the standard lens delivered clear and sharp images. The phone's design is sleek, fitting comfortably in my hand. However, I encountered a slight issue with the phone's connectivity, which required a quick reset. Despite this hiccup, the LG G5 is a fantastic device for photography lovers and tech enthusiasts alike.",CG,1
162,"The Todd's Seeds Mung Bean sprouting seeds exceeded my expectations. The quality is exceptional, and the customer service is top-notch. Highly recommend!",CG,1
163,Accurate and easy to read. Perfect for home use.,CG,1
164,Outstanding,CG,1
165,Great quality folders for the price!,CG,1
166,Perfect fit,CG,1
167,My finicky feline loved it!,CG,1
168,My fishes can't get enough of these shrimp pellets! Perfect treat for them.,CG,1
169,"These Petacc dog shoes are a game-changer for my furry pals! My Labrador and Husky love braving the cold weather now as these boots keep their paws warm and protected. The anti-slip feature is remarkable, making walks stress-free. At first, they were hesitant, but now they excitedly wait for their booties. Easy to put on with the velcro straps. Highly recommend for medium to large dogs!",CG,1
170,Smooth and robust flavor!,CG,1
171,"The pencil extenders were a disappointment. They didn't fit my pencils properly, rendering them useless. A waste of money and time.",CG,1
172,"Absolutely love the Breakfast Blend Decaf pods! The flavor is delightful, and the convenience of the single-serve pods is unbeatable. Worth every penny!",CG,1
173,"I can't say enough good things about the AT&T Digital Answering System. Setting it up was a breeze, thanks to the clear instructions provided. The time and day stamp feature is incredibly handy for staying organized. I love the Message Guard memory that keeps my messages safe, even during power outages. The 60-minute recording time is more than enough for my needs. This device has truly simplified my message management. Kudos to AT&T for creating such a reliable and user-friendly product!",CG,1
174,"The display is too dim, especially in low light. It's a hassle to read the equations clearly. The solar power is convenient, but the battery life is disappointing. The buttons feel cheap and require too much pressure to register. Disappointed with this calculator.",CG,1
175,"I had high hopes for this 'Triumph Dog Turkey, Pea, & Berry Grain Free Jerky' but was sorely disappointed. My poor pup had a terrible reaction after eating it, with vomiting and diarrhea that lasted for days. The ingredients seemed promising, but the result was disastrous. The price was tempting, but now I understand why. I wouldn't recommend this to any dog owner, it's just not worth the risk. A one-star rating is generous for the troubles it caused.",CG,1
176,"Absolutely love this Spellbinders Borderabilities set! The designs are intricate and versatile, making it easy to create beautiful borders on my cards. The quality is top-notch, and I appreciate how easily they can be interchanged. Running them through my machine vertically yields perfect cuts every time. A must-have for any cardmaker!",CG,1
177,Colorful folders brighten my workspace!,CG,1
178,"I was really excited to get the Fiskars Kangaroo Collapsible Container for my gardening needs, but unfortunately, it did not meet my expectations. The material is extremely thin and flimsy, as I noticed small twigs easily poking through. The collapsible feature is convenient for storage, but the lack of a hard plastic bottom makes it susceptible to tears and damages. I was disappointed by the overall quality considering Fiskars' reputation for durable products. If you're only using it for lightweight items like leaves, it might be sufficient. However, for heavier gardening tasks, I would recommend looking for a sturdier option.",CG,1
179,"These Skinny Dipped Almonds in Dark Chocolate Raspberry are a delightful snack that I can't get enough of. The combination of whole roasted almonds, a hint of maple sugar, and a skinny layer of dark chocolate with a sprinkle of pure raspberry is simply irresistible. Each 1.5oz packet is packed with 7g of plant-based protein, making it a satisfying and guilt-free treat. The taste is rich and not overly sweet, perfect for those who prefer a more subtle sweetness in their snacks. The texture is fantastic, with a thin, powdery coating that adds to the overall experience. I appreciate the attention to detail in the ingredients, especially the organic maple syrup and sea salt that enhance the flavors. These almonds are a healthier alternative to traditional chocolate-covered snacks, with just the right balance of flavors. The fact that they are Non-GMO Project verified and gluten-free adds to their appeal. The small packets are convenient for on-the-go snacking and help prevent overindulging. I'm impressed by the craftsmanship and dedication to creating a high-quality product by Wild Things. These Skinny Dipped Almonds have become my new favorite go-to snack, and I highly recommend them to anyone looking for a tasty and nutritious treat.",CG,1
180,Average taste,CG,1
181,Delicious breakfast,CG,1
182,Charming addition to my garden.,CG,1
183,This Canon ink cartridge arrived empty! Disappointing quality.,CG,1
184,A salt-powered superhero! Say goodbye to pesky flies in style. A must-have for any backyard warrior. Love it!,CG,1
185,Comfortable and durable!,CG,1
186,My pup adores the KONG Cross Knots toy! The quality is top-notch and it keeps him entertained for hours. Definitely a must-have for pet owners!,CG,1
187,Simply perfect for my amplifier cabinet!,CG,1
188,Great value for the price,CG,1
189,"Rich and creamy texture, perfect for smoothies. Great non-dairy option with a subtle flavor. Would buy again.",CG,1
190,Perfect solution for my flag setup. No more wrapping issues with the rotating feature. Easy to install and durable.,CG,1
191,Perfect snack size. Love the flavor.,CG,1
192,"This Mpow Bluetooth receiver is a game-changer for my home stereo system. The sound quality is top-notch, providing a truly immersive experience. I love the noise isolator feature that enhances the audio clarity. Setup was a breeze, and it seamlessly pairs with my devices every time. The always-on standby mode is convenient, ensuring I'm always connected. The only downside is the lack of a built-in battery, but the performance compensates for it. Overall, a solid purchase for enhancing my music streaming setup.",CG,1
193,"Amazing phone, excellent camera quality. Love the expandable memory option!",CG,1
194,Fast charging at an unbeatable price. A must-have for all smartphone users!,CG,1
195,"This pet food container is a disaster! The lid doesn't close properly, leading to pests getting inside. It smells awful and the quality is cheap. Truly disappointed with this purchase.",CG,1
196,This canopy sidewall is a game-changer! Perfect addition to my outdoor setup.,CG,1
197,Writes like a dream!,CG,1
198,Absolutely love the Roland Rough Cut Demerara Sugar! Its unique aroma and taste elevate my cocktails to a whole new level. The coarse crystals add a delightful golden hue and a subtle sweetness that enhances the flavor profile. A must-have for any home mixologist. Highly recommend it!,CG,1
199,My cats love it!,CG,1
200,"Beautiful at first, turned into a nightmare! The balls arrived with brown spots and now algae is everywhere. Shrimps avoid them. Not what I expected. Disappointed.",CG,1
201,Effective wipes for my pet's quick clean ups.,CG,1
202,"Delicious, wholesome treat for any time of the day!",CG,1
203,"Great drumsticks, perfect balance and durability!",CG,1
204,"I can't believe I didn't try Vet's Best Flea and Tick Home Spray sooner! This product is a game-changer. We were dealing with a flea infestation and nothing seemed to work. Then I discovered this spray. After using it according to the directions, the fleas vanished within days. It's incredible how effective and safe it is. I love that it's made with natural essential oils, so I feel comfortable using it around my pets and family. The best part? It's affordable! This spray saved us time, money, and stress. I highly recommend Vet's Best Flea and Tick Home Spray to anyone struggling with fleas and ticks. 5 stars all the way!",CG,1
205,So addictive! Can't stop munching on these.,CG,1
206,Simply purrfect for my furball! 🐱,CG,1
207,"Decent toy, wished for more variety",CG,1
208,My cat adores this glove! It's a hit for deshedding. The silicone tips work wonders. Only downside is cleaning the pet hair off. A comb does the trick.,CG,1
209,Satisfying,CG,1
210,"LoSalt surprised me with its authentic salty flavor despite being low in sodium. I appreciate the added potassium for a healthy touch. However, the packaging was a letdown as the lids didn't secure properly, causing a spill. It's a good product overall, but the packaging needs improvement.",CG,1
211,"It's like a burst of rainbow in my mouth! The Skittles are so addictive, I can't stop snacking on them. Perfect for satisfying my sweet cravings.",CG,1
212,Our pup goes crazy for this KONG Goodie Bone! Perfect size and durability for endless playtime fun! Highly recommend!,CG,1
213,Perfect for crafting and organizing! Easy to cut and sticks well.,CG,1
214,"Smooth, rich flavor with a delightful hint of chocolate caramel. This coffee exceeded my expectations. Perfect for a cozy morning pick-me-up!",CG,1
215,Sturdy and effective for beetles.,CG,1
216,My guinea pig adores this food! It's a hit with its health benefits and crunchy pieces. The probiotics and antioxidants are a plus. Worth every penny!,CG,1
217,Graphics are stunning! Enjoying the dynamic battle system.,CG,1
218,"The M. Graham watercolor set is a gem! The colors are vibrant and blend like a dream. I love the Quinacridone shades, so rich and lively. A top-notch product from M. Graham & Co. that's definitely worth every cent. Highly recommend!",CG,1
219,"I recently purchased a bottle of Pet MasterMind Cool Kitty Cat Calming Pheromone Spray and I have been extremely impressed with the results. My fur babies mean the world to me, but dealing with their anxiety was always a challenge. The calming effect of this spray is truly remarkable. The scent is pleasant and not overwhelming like some other products I've tried in the past. One of my cats, in particular, gets very anxious during thunderstorms, and this spray has worked wonders in keeping her calm. I have also noticed a significant decrease in her destructive behavior since using this product. The bottle is a good size and lasts a long time, making it a great value for the price. I highly recommend this product to any cat parent looking to help their furry friends relax and feel more at ease.",CG,1
220,My cat's health has improved since using NOW Pets Cat L-Lysine Powder. It's a great immune booster and easy to administer. Highly recommended!,CG,1
221,bold and aromatic,CG,1
222,"Cats can't resist, always clean bowls!",CG,1
223,"High-quality watercolors, perfect for on-the-go painting. Brush is a bonus!",CG,1
